run_id,method,model_name,dataset,task_type,rank,alpha,dropout,seed,epoch,step,eval_loss,accuracy,macro_f1,weighted_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,source,implementation,is_final_only,rank_label,method_rank
dora_r8_seed97_1781724430,dora,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,8.0,16.0,0.0,97,4.0,5200,0.6792206168174744,0.7988461538461539,0.7982829183787482,0.7982829183787483,2.0078,1294.934,40.84,notebook_cell_7_section_3,custom,False,8,dora / 8
dora_r8_seed97_1781724430,dora,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,8.0,16.0,0.0,97,5.0,6500,0.6719135642051697,0.8034615384615384,0.8025820793324973,0.8025820793324974,2.1189,1227.045,38.699,notebook_cell_7_section_3,custom,False,8,dora / 8
dora_r8_seed98_1781726109,dora,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,8.0,16.0,0.0,98,1.0,1300,0.7385950684547424,0.7807692307692308,0.7797765752589736,0.7797765752589735,2.0769,1251.882,39.482,notebook_cell_7_section_8,custom,False,8,dora / 8
dora_r8_seed98_1781726109,dora,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,8.0,16.0,0.0,98,2.0,2600,0.7079389691352844,0.7892307692307692,0.7886274765534081,0.7886274765534078,2.0758,1252.551,39.504,notebook_cell_7_section_8,custom,False,8,dora / 8
dora_r8_seed98_1781726109,dora,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,8.0,16.0,0.0,98,3.0,3900,0.6863226890563965,0.7934615384615384,0.7932931717806474,0.7932931717806475,2.047,1270.125,40.058,notebook_cell_7_section_8,custom,False,8,dora / 8
dora_r8_seed98_1781726109,dora,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,8.0,16.0,0.0,98,4.0,5200,0.6617963314056396,0.8053846153846154,0.8042509230615018,0.8042509230615017,1.9974,1301.676,41.053,notebook_cell_7_section_8,custom,False,8,dora / 8
dora_r8_seed98_1781726109,dora,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,8.0,16.0,0.0,98,5.0,6500,0.6614682674407959,0.803076923076923,0.8025666309757409,0.802566630975741,1.9959,1302.658,41.084,notebook_cell_7_section_8,custom,False,8,dora / 8
dora_r8_seed99_1781727728,dora,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,8.0,16.0,0.0,99,1.0,1300,0.7433973550796509,0.775,0.7745055040617075,0.7745055040617075,2.1562,1205.808,38.029,notebook_cell_7_section_13,custom,False,8,dora / 8
dora_r8_seed99_1781727728,dora,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,8.0,16.0,0.0,99,2.0,2600,0.6996031999588013,0.7896153846153846,0.7890567141661998,0.7890567141661997,2.0145,1290.66,40.705,notebook_cell_7_section_13,custom,False,8,dora / 8
dora_r8_seed99_1781727728,dora,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,8.0,16.0,0.0,99,3.0,3900,0.6816719174385071,0.7961538461538461,0.7946144785568519,0.7946144785568517,1.9941,1303.818,41.12,notebook_cell_7_section_13,custom,False,8,dora / 8
dora_r8_seed99_1781727728,dora,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,8.0,16.0,0.0,99,4.0,5200,0.6758352518081665,0.7953846153846154,0.7939465497641116,0.7939465497641116,1.9982,1301.168,41.037,notebook_cell_7_section_13,custom,False,8,dora / 8
dora_r8_seed99_1781727728,dora,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,8.0,16.0,0.0,99,5.0,6500,0.669402539730072,0.8026923076923077,0.8021500955680422,0.8021500955680423,2.036,1277.032,40.276,notebook_cell_7_section_13,custom,False,8,dora / 8
official_dora_r8_seed97_1781761565,dora,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,8.0,16.0,0.0,97,5.0,6500,,0.7988461538461539,0.7978431481871919,0.7978431481871917,,,,official_final_only,official,True,8,dora / 8
official_dora_r8_seed98_1781763357,dora,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,8.0,16.0,0.0,98,5.0,6500,,0.7976923076923077,0.7971766521669783,0.797176652166978,,,,official_final_only,official,True,8,dora / 8
official_dora_r8_seed99_1781765219,dora,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,8.0,16.0,0.0,99,5.0,6500,,0.7953846153846154,0.7950809492409296,0.7950809492409294,,,,official_final_only,official,True,8,dora / 8
ft_seed97_1781723194,ft,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,,,,97,1.0,1300,0.7314496040344238,0.7934615384615384,0.7916964997647242,0.7916964997647241,1.8568,1400.237,44.161,notebook_cell_7_section_0,custom,False,full,ft / full
ft_seed97_1781723194,ft,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,,,,97,2.0,2600,0.6997123956680298,0.8038461538461539,0.8027721838331178,0.8027721838331178,1.7736,1465.945,46.234,notebook_cell_7_section_0,custom,False,full,ft / full
ft_seed97_1781723194,ft,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,,,,97,3.0,3900,0.7020010948181152,0.8073076923076923,0.8065812430024744,0.806581243002474,1.7608,1476.562,46.569,notebook_cell_7_section_0,custom,False,full,ft / full
ft_seed97_1781723194,ft,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,,,,97,4.0,5200,0.7321280837059021,0.8092307692307692,0.8090034589573363,0.8090034589573364,1.8337,1417.88,44.718,notebook_cell_7_section_0,custom,False,full,ft / full
ft_seed97_1781723194,ft,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,,,,97,5.0,6500,0.7503795027732849,0.813076923076923,0.8129272547311662,0.8129272547311662,1.8762,1385.787,43.706,notebook_cell_7_section_0,custom,False,full,ft / full
ft_seed98_1781725049,ft,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,,,,98,1.0,1300,0.7707986235618591,0.7823076923076923,0.7820574195106119,0.7820574195106119,1.8507,1404.912,44.309,notebook_cell_7_section_5,custom,False,full,ft / full
ft_seed98_1781725049,ft,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,,,,98,2.0,2600,0.69663405418396,0.801923076923077,0.8014980351797102,0.8014980351797102,1.9961,1302.511,41.079,notebook_cell_7_section_5,custom,False,full,ft / full
ft_seed98_1781725049,ft,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,,,,98,3.0,3900,0.7228733897209167,0.7938461538461539,0.7947454224898812,0.7947454224898813,1.826,1423.852,44.906,notebook_cell_7_section_5,custom,False,full,ft / full
ft_seed98_1781725049,ft,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,,,,98,4.0,5200,0.7374799251556396,0.81,0.809102471580093,0.8091024715800929,2.0257,1283.532,40.481,notebook_cell_7_section_5,custom,False,full,ft / full
ft_seed98_1781725049,ft,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,,,,98,5.0,6500,0.7640839219093323,0.8073076923076923,0.8072928436215416,0.8072928436215415,1.8171,1430.86,45.127,notebook_cell_7_section_5,custom,False,full,ft / full
ft_seed99_1781726652,ft,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,,,,99,1.0,1300,0.7628662586212158,0.7819230769230769,0.7812509246152228,0.7812509246152229,1.7661,1472.187,46.431,notebook_cell_7_section_10,custom,False,full,ft / full
ft_seed99_1781726652,ft,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,,,,99,2.0,2600,0.705735981464386,0.7957692307692308,0.7963808267753916,0.7963808267753915,1.7705,1468.476,46.313,notebook_cell_7_section_10,custom,False,full,ft / full
ft_seed99_1781726652,ft,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,,,,99,3.0,3900,0.7026737332344055,0.8096153846153846,0.8084979248100563,0.8084979248100564,1.8341,1417.572,44.708,notebook_cell_7_section_10,custom,False,full,ft / full
