method,rank_label,method_rank,accuracy_custom_mean,accuracy_official_mean,accuracy_delta_mean,accuracy_delta_std,macro_f1_custom_mean,macro_f1_official_mean,macro_f1_delta_mean,macro_f1_delta_std,weighted_f1_custom_mean,weighted_f1_official_mean,weighted_f1_delta_mean,weighted_f1_delta_std,trainable_params_custom_mean,trainable_params_official_mean,trainable_params_delta_mean,trainable_params_delta_std,total_params_custom_mean,total_params_official_mean,total_params_delta_mean,total_params_delta_std,trainable_percent_custom_mean,trainable_percent_official_mean,trainable_percent_delta_mean,trainable_percent_delta_std,train_time_sec_custom_mean,train_time_sec_official_mean,train_time_sec_delta_mean,train_time_sec_delta_std,peak_vram_mb_custom_mean,peak_vram_mb_official_mean,peak_vram_mb_delta_mean,peak_vram_mb_delta_std,checkpoint_size_mb_custom_mean,checkpoint_size_mb_official_mean,checkpoint_size_mb_delta_mean,checkpoint_size_mb_delta_std,runs
dora,16,dora / 16,0.8035897435897436,0.8008974358974359,-0.0026923076923076974,0.0020351933162034864,0.8031757099603549,0.8003746556338781,-0.002801054326476667,0.0018524752085782418,0.8031757099603549,0.8003746556338783,-0.002801054326476519,0.001852475208578304,1208845.0,1208845.0,0.0,0.0,121460749.0,136217114.0,14756365.0,0.0,0.9952556772064692,0.887439885123392,-0.10781579208307723,0.0,267.2412365000152,353.9810324333327,86.73979593331751,62.02344976011492,874.1912434895834,830.5237630208334,-43.66748046875,9.959292143521045,4.636088371276856,4.627817153930664,-0.008271217346192294,0.0,3
dora,8,dora / 8,0.8030769230769231,0.7973076923076924,-0.005769230769230749,0.0013867504905631203,0.8024329352920935,0.7967002498650334,-0.005732685427060143,0.001202315086842843,0.8024329352920936,0.7967002498650331,-0.005732685427060513,0.001202315086842827,913933.0,913933.0,0.0,0.0,121165837.0,135922202.0,14756365.0,0.0,0.754282743905776,0.6723941979692177,-0.08188854593655825,0.0,276.9262870332847,335.0032421000008,58.07695506671613,47.87262850996801,870.8162434895834,826.8206380208334,-43.99560546875,9.959292143521045,3.5110883712768555,3.50277042388916,-0.008317947387695312,0.0,3
ft,full,ft / full,0.8108974358974358,0.8108974358974358,0.0,0.0,0.8101758837071052,0.8101758837071052,0.0,0.0,0.8101758837071052,0.8101758837071052,0.0,0.0,135008269.0,135008269.0,0.0,0.0,135008269.0,135008269.0,0.0,0.0,100.0,100.0,0.0,0.0,513.0097995666632,485.3434914999998,-27.666308066663362,31.872587617406555,2089.076171875,2089.6236979166665,0.5475260416666666,1.2289492312426926,8253.025411287943,8253.026502927145,0.0010916392008463542,5.588021542627615e-06,3
lora,16,lora / 16,0.7987179487179487,0.8028205128205128,0.004102564102564081,0.0031088091417903014,0.7981673011907741,0.8023072338798589,0.004139932689084895,0.0029597232376491066,0.798167301190774,0.8023072338798589,0.004139932689084969,0.0029597232376492757,1190413.0,1190413.0,0.0,0.0,135598093.0,136198682.0,600589.0,0.0,0.877898039465791,0.8740268132697495,-0.0038712261960415217,0.0,302.0497649332974,239.37974719999934,-62.670017733298046,95.40784329512944,776.8312174479166,779.2141927083334,2.3829752604166665,1.1423161480734008,4.558016777038574,4.554096221923828,-0.003920555114746094,0.0,3
lora,8,lora / 8,0.7982051282051282,0.7970512820512821,-0.001153846153846172,0.001153846153846172,0.7976147946649675,0.7964664902270077,-0.0011483044379599534,0.0012079410854677905,0.7976147946649675,0.7964664902270076,-0.0011483044379600276,0.00120794108546773,895501.0,895501.0,0.0,0.0,135303181.0,135903770.0,600589.0,0.0,0.6618477063004158,0.6589228540164853,-0.002924852283930468,0.0,260.2023182666162,270.9553641333344,10.753045866718187,71.24168833892837,773.1280924479166,1303.6611328125,530.5330403645834,458.5323628847322,3.433016777038574,3.429049491882324,-0.00396728515625,0.0,3
